,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score,cal_time,cal_time,fit_time,fit_time
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncal,PCam,AdaBoost,2,10000,1000,9000,0.7585888888888889,0.0021760953440743643,0.6855364520286047,3.184574964888504e-05,0.25059895398428733,0.0021755459252273323,0.22525555555555554,0.002176095344074364,0.4801515151515151,0.0,0.0002549952573072624,1.783825008898726e-06,0.5028895349446473,2.284944131238856e-05,0.49400756508880583,1.0654567383423724e-05,0.5052433347316019,1.1246076537566863e-05,0.253345554157287,0.0021706491567604364,0.24619519101489215,1.5919260955111172e-05,1.621246337890625e-06,3.3340735377316527e-07,0.00016579627990722656,4.174923466171035e-05
Uncal,PCam,XGBoost,2,10000,1000,9000,0.8085777777777778,0.0015615405147320091,0.42494732545608305,0.0014702421973934283,0.06045867676767678,0.0007177491871183399,0.05415978835978835,0.0009796481210637502,0.18501637851005076,0.008964040696320404,0.3315317818538083,0.0009205020195498433,0.6489034837343707,0.000567552523129798,0.2176950145377631,0.0006768286021600704,0.7567685686813461,0.0005087875755802008,0.05180920909643174,0.0015168212199352818,0.1368866407131163,0.0006001476525766632,1.621246337890625e-06,3.138926451703946e-07,0.00013933181762695312,1.051699517953897e-05
Uncal,PCam,mondrian_forest,2,10000,1000,9000,0.7945888888888889,0.0012461738424240127,0.41077732609840883,0.000995617146484821,0.041523597081930416,0.000711723791747043,0.03762280216691209,0.0011155586587352927,0.16112349961978137,0.0033425005103084908,0.4962110716118235,0.0014504114803795863,0.622845878315563,0.0004446782075779914,0.20237842700905556,0.0005854145463356388,0.7617203537564061,0.0004733514822440694,0.032868535132482814,0.001190518791696618,0.13825456278802656,0.00037552192993388464,1.6450881958007813e-06,3.4550134530519097e-07,0.0001517772674560547,2.1968230527341784e-05
Uncal,PCam,random_forest,2,10000,1000,9000,0.8486666666666668,0.000737027731190098,0.3813514945694529,0.002582161973990916,0.07979273288439956,0.0006362495388966716,0.08129791005291007,0.0007045189441481906,0.1903036097918639,0.004809168617821269,0.41316085257077945,0.0009331482134414403,0.6169851850568531,0.0009007404338111823,0.20448877208743213,0.0006356263889912384,0.7684942222222222,0.000523129445748939,0.08017244444444444,0.0007355571966711894,0.11482218888888891,0.0004430564024760643,1.5497207641601562e-06,4.93116126298541e-07,0.00014638900756835938,4.267921950689174e-06
Uncal,PCam,1layer_NN,2,10000,1000,9000,0.5925,0.0007720245772472508,0.8649207740603606,0.0014911927513875213,0.20901860493827162,0.000854028993970311,0.20317161375661374,0.000925272651463746,0.430423240419858,0.018537179298025307,0.34978774985767974,0.0010480367244138184,0.7700607538192016,0.00042769258491784357,0.18106675933885708,0.0009100280180939487,0.7990177522128882,0.0005974009630819878,0.2065177522128881,0.0009435666969386881,0.28235305983323067,0.000549089644959864,1.5497207641601562e-06,3.933705861016776e-07,0.00014905929565429689,2.0729105735679074e-05
GPcalib,PCam,AdaBoost,2,10000,1000,9000,0.758611111111111,0.0023302448695927632,0.48307212659730087,0.002215620989229276,0.038939826038159375,0.0031899514570577756,0.02589468253968254,0.004233135753570123,0.18274926467579103,0.029856661305448985,0.30545960570506436,0.013697643264525668,0.6726933311776409,0.010250529770622265,0.2121013896379095,0.01200014995869267,0.7600855333996591,0.011355762389940448,0.009166105841258265,0.008946974076645617,0.16016491813051764,0.0010116579441279286,0.1640239953994751,0.018234752140243445,1.3772971153259277,0.35345345037351966
GPcalib,PCam,XGBoost,2,10000,1000,9000,0.8084777777777779,0.0014487589883448628,0.4137071653009564,0.0012373647213295637,0.03408335016835018,0.0019428902176670388,0.022071216931216924,0.004376836678302033,0.1619461678183075,0.025447558221932728,0.32791428892718266,0.00400554194724046,0.6974134323133561,0.009997386013534004,0.1679527561669421,0.00972106262154652,0.8062618017188588,0.009589335613484335,0.007810835553291073,0.007539871663220747,0.13375073502056964,0.0005688222195978968,0.16072213649749756,0.009435274630056912,0.9463039875030518,0.06946118597766321
GPcalib,PCam,mondrian_forest,2,10000,1000,9000,0.7943555555555555,0.0014720067394131935,0.4077757570965562,0.001287760733881865,0.0351544802406975,0.004024485519412933,0.027022780094791816,0.005214742326857522,0.14048213963883396,0.020528981512622748,0.46207354474608364,0.02548745993689597,0.643916316614339,0.012508281987178094,0.18625257731728406,0.00909535530315475,0.7788264619832571,0.009567549808614873,0.015676073597685407,0.010570281695238876,0.13709529867489673,0.0003822814920252449,0.16572120189666747,0.004738568743753036,1.039119839668274,0.2717697556794303
