,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.945625,0.1463757857200613,0.017425820707070733,0.026962499999999962,0.33469696969696966,0.15380485918266973,0.7664214532466618,0.03710629467049093,0.9522105266225042,0.006585526622504202,0.040868768904727355,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
1,0.946125,0.14419891058431675,0.015716073232323238,0.02476904761904765,0.3479292929292929,0.1628813198994419,0.7562951194936398,0.04106671115593662,0.9480161574703093,0.0018911574703093237,0.04049692899299476,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
2,0.946875,0.146297274855826,0.017822361111111122,0.022755357142857095,0.3564141414141414,0.14724364947097165,0.7700630117079474,0.04158941116505799,0.9484046238000703,0.0015296238000704065,0.0405578555901059,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
3,0.945625,0.1434630676956981,0.021943781181424586,0.030473343226765724,0.2940909090909091,0.18092281824798792,0.7346135356562707,0.049874922439545326,0.9384066374694146,0.007218362530585366,0.04061422699142525,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
4,0.947375,0.14301839296562507,0.01893945707070708,0.029115773809523772,0.4521717171717172,0.15828755241389034,0.7508562891530975,0.04698733974726169,0.9423741812236196,0.005000818776380256,0.03961509482737665,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
5,0.946375,0.1418974139060428,0.01949944444444445,0.027716071428571402,0.36136363636363633,0.16963516206836843,0.7436129724366584,0.04406879639899079,0.9445456384548209,0.001829361545179077,0.039803549862784414,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
6,0.945625,0.1444771261323562,0.0170295707070707,0.024155059523809495,0.3411616161616162,0.14952215565194013,0.7644174035261677,0.0403033899090095,0.9490783032340282,0.0034533032340282183,0.040692378421401526,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.14236271657371946,0.0173947474747475,0.02600446428571429,0.32631313131313133,0.17008682454046584,0.7468577878638268,0.044317739515467525,0.9445623573174798,0.0021876426825200856,0.03999278436415472,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
8,0.9465,0.14212634365356797,0.01926195449252674,0.028878636020516577,0.37681818181818183,0.1716360578433346,0.7442772545289781,0.045620690210962864,0.943138849832624,0.00336115016737603,0.04009676934146406,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
9,0.946625,0.1435162997244632,0.017178143939393944,0.025491369047619044,0.4323737373737374,0.16253825400737237,0.7555677631322176,0.04182834051966106,0.9473576765127579,0.0007326765127579279,0.040210443981851016,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
0,0.96725,0.10503600938280473,0.02007107323232319,0.024854464285714275,0.6881313131313131,0.060080765560165554,0.8395459085140337,0.02379963225649149,0.9717249342037433,0.0044749342037431646,0.026794314819981263,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
1,0.96825,0.10150673141718082,0.02140568181818184,0.02510446428571425,0.6683333333333333,0.06636725956593481,0.8144761898147174,0.03200642449493818,0.9631193985093934,0.0051306014906066615,0.025476852048199054,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.10338365263493082,0.020005164141414154,0.024858928571428535,0.6831818181818181,0.06097344626935602,0.835631656401011,0.02578481798825906,0.9697285403700935,0.0021035403700935956,0.026458875056876288,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
3,0.967875,0.10099852459261319,0.021526982323232375,0.025926190476190478,0.6782323232323233,0.06268193952274798,0.822495249707193,0.028195924094581784,0.9670075298638003,0.0008674701361998036,0.02572595439689441,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
4,0.966125,0.10664888117911706,0.016556098484848483,0.02418988095238097,0.6732828282828283,0.05258900428381209,0.8506220323736293,0.019635333256485088,0.975969635004235,0.009844635004235026,0.02761850305128536,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.10290923782850249,0.02156452020202025,0.02502083333333333,0.6782323232323233,0.06422851859775285,0.8237834208256485,0.02752024804032933,0.9675913600736397,0.00046636007363968016,0.02635286048822087,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.10377374423157547,0.02013674242424244,0.025186904761904726,0.6831818181818181,0.06186379985287934,0.8349633769043396,0.02543492494248757,0.9700454700798035,0.0024204700798035016,0.02645215669716455,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
